url,image_url,final_image_label,final_url_label,adamcodd_vit_base_nsfw_detector_adult_score,adamcodd_vit_base_nsfw_detector_safe_score,adamcodd_vit_base_nsfw_detector_error,falconsai_nsfw_image_detection_adult_score,falconsai_nsfw_image_detection_normal_score,falconsai_nsfw_image_detection_error,freepik_nsfw_image_detector_high_score,freepik_nsfw_image_detector_low_score,freepik_nsfw_image_detector_medium_score,freepik_nsfw_image_detector_safe_score,freepik_nsfw_image_detector_error,marqo_adult_score,marqo_safe_score,marqo_error
https://www.effon.com,https://www.effon.com/wp-content/uploads/2023/11/31.jpg,normal,normal,0.59%,99.41%,,0.01%,99.99%,,0.02%,0.01%,0.001%,99.97%,,0.0489744395017624,0.951025485992432,
https://www.effon.com,https://www.effon.com/wp-content/uploads/2023/11/32.jpg,normal,normal,1.78%,98.22%,,0.02%,99.98%,,0.01%,0.02%,0.001%,99.96%,,0.054404754191637,0.945595264434815,
https://uniuni.com,https://cdn.uniuni.com/wp-content/uploads/2025/10/Package-Tracking-1.png,safe,,8.35%,91.65%,,0.05%,99.95%,,0.01%,0.002%,0.004%,99.98%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://www.effon.com,https://www.effon.com/wp-content/uploads/2023/11/EFFON-Barcode-Scanner-Manufacturer-1024x556.jpg,normal,normal,30.27%,69.73%,,0.02%,99.98%,,0.006%,0.04%,0.005%,99.95%,,0.057419590651989,0.942580342292786,
https://www.effon.com,https://www.effon.com/wp-content/uploads/2023/11/25.jpg,normal,normal,3.36%,96.64%,,0.02%,99.98%,,0.04%,0.02%,0.006%,99.93%,,0.0537770241498947,0.946222960948944,
http://outway.com,http://outway.com/cdn/shop/files/Mystery-Pair_b4cb91a2-8526-4bd3-b6e0-52e641f2bc62_600x600.png?v=1758130232,normal,normal,1.26%,98.74%,,0.02%,99.98%,,0.02%,0.01%,0.007%,99.96%,,,,"output with shape [1, 384, 384] doesn't match the broadcast shape [3, 384, 384]"
https://www.effon.com,https://www.effon.com/wp-content/uploads/2023/10/EFFON.jpg,normal,normal,15.73%,84.27%,,0.08%,99.92%,,0.03%,0.04%,0.008%,99.92%,,0.0944289639592171,0.905571043491364,
https://uniuni.com,https://cdn.uniuni.com/wp-content/uploads/2025/11/newgirl_home-1-1-768x765.jpg,normal,,8.17%,91.83%,,0.08%,99.92%,,0.20%,0.03%,0.008%,99.77%,,0.10706701874733,0.892933011054993,
http://outway.com,https://cdn.shopify.com/s/files/1/1477/6714/files/canada_c4b23e1e-5caa-430b-8ee1-8f6b6f677293.png?v=1708468785,safe,normal,8.89%,91.11%,,0.06%,99.94%,,0.02%,0.007%,0.01%,99.96%,,,,"output with shape [1, 384, 384] doesn't match the broadcast shape [3, 384, 384]"
https://www.effon.com,https://www.effon.com/wp-content/uploads/2023/11/34.jpg,normal,normal,5.57%,94.43%,,0.02%,99.98%,,0.20%,0.21%,0.01%,99.57%,,0.0598956122994423,0.940104424953461,
https://uniuni.com,https://cdn.uniuni.com/wp-content/uploads/2023/05/logo.png,safe,,1.37%,98.63%,,0.30%,99.70%,,0.03%,0.04%,0.02%,99.92%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://uniuni.com,https://cdn.uniuni.com/wp-content/uploads/2025/03/logo_TM-1.png,safe,,1.72%,98.28%,,0.34%,99.66%,,0.02%,0.03%,0.02%,99.93%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,https://cdn.shopify.com/s/files/1/1477/6714/files/USA.png?v=1708468785,safe,normal,10.66%,89.34%,,0.08%,99.92%,,0.02%,0.04%,0.02%,99.93%,,,,"output with shape [1, 384, 384] doesn't match the broadcast shape [3, 384, 384]"
https://uniuni.com,https://cdn.uniuni.com/wp-content/uploads/2025/10/Group-47989.png,safe,,2.63%,97.37%,,0.05%,99.95%,,0.02%,0.01%,0.02%,99.95%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/Outway_Logo_-_Black_Filled_1.png?v=1684337320,safe,normal,10.95%,89.05%,,3.13%,96.87%,,0.04%,0.04%,0.03%,99.90%,,,,"output with shape [1, 384, 384] doesn't match the broadcast shape [3, 384, 384]"
https://uniuni.com,https://cdn.uniuni.com/wp-content/uploads/2025/10/Group-47991.png,normal,,3.85%,96.15%,,0.02%,99.98%,,0.04%,0.01%,0.03%,99.92%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://uniuni.com,https://cdn.uniuni.com/wp-content/uploads/2023/08/PIP-2.png,safe,,6.79%,93.21%,,0.18%,99.82%,,0.04%,0.02%,0.03%,99.90%,,,,"output with shape [1, 384, 384] doesn't match the broadcast shape [3, 384, 384]"
http://outway.com,http://outway.com/cdn/shop/files/TakeAHike-SubMerino-Crew_01.png?v=1769535194&width=20,safe,normal,7.27%,92.73%,,0.53%,99.47%,,0.02%,0.06%,0.03%,99.89%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://uniuni.com,https://cdn.uniuni.com/wp-content/uploads/2025/10/Ellipse-980-1.png,safe,,11.21%,88.79%,,0.17%,99.83%,,0.02%,0.01%,0.04%,99.94%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://sentinelpro.com,https://sentinelpro.com/assets/images/home-main-perspective.png,normal,normal,1.61%,98.39%,,0.03%,99.97%,,0.05%,0.01%,0.04%,99.89%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://www.effon.com,https://www.effon.com/wp-content/uploads/2023/11/20PQIV72NHG97CCWD@3-300x300.png,normal,normal,0.66%,99.34%,,0.02%,99.98%,,1.87%,0.24%,0.04%,97.85%,,0.0648243799805641,0.935175657272339,
http://outway.com,http://outway.com/cdn/shop/files/Bliss-Crew_02_1_a558090a-e9e5-4e5e-a1a1-ca152dc34b47.png?crop=center&height=16&v=1758127130&width=20,safe,normal,9.27%,90.73%,,3.65%,96.35%,,0.02%,0.006%,0.05%,99.93%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://www.effon.com,https://www.effon.com/wp-content/uploads/2023/10/quote.png,safe,normal,31.99%,68.01%,,0.40%,99.60%,,0.005%,0.01%,0.05%,99.94%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://uniuni.com,https://cdn.uniuni.com/wp-content/uploads/2023/08/SGS_ISO_9001.png,safe,,0.94%,99.06%,,0.22%,99.78%,,0.04%,0.03%,0.05%,99.88%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://uniuni.com,https://cdn.uniuni.com/wp-content/uploads/2025/03/ISO-IEC-27001_ANAB_TCL-1.png,normal,,2.27%,97.73%,,0.03%,99.97%,,0.02%,0.02%,0.07%,99.88%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/BrightNight-Crew_02_752d04ee-ae05-4209-b125-91ed0ed3aeed.png?crop=center&height=16&v=1758127636&width=20,safe,normal,5.95%,94.05%,,0.17%,99.83%,,0.01%,0.01%,0.07%,99.91%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://www.effon.com,https://www.effon.com/wp-content/uploads/2023/11/NV2YZ6OQFP0F8FAV8.png,normal,normal,1.73%,98.27%,,0.01%,99.99%,,0.40%,0.19%,0.08%,99.33%,,0.0627645179629326,0.937235474586487,
https://sentinelpro.com,https://sentinelpro.com/assets/images/partner/gr.png,safe,normal,18.01%,81.99%,,0.28%,99.72%,,0.06%,0.06%,0.08%,99.81%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://uniuni.com,https://cdn.uniuni.com/wp-content/uploads/2025/10/Group-47992.png,normal,,1.61%,98.39%,,0.03%,99.97%,,0.19%,0.02%,0.08%,99.72%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/Artboard_2_7f10c115-ca01-4022-a8b5-0fca88f5c14f.jpg?v=1730262996&width=20,safe,normal,2.64%,97.36%,,4.64%,95.36%,,0.17%,0.03%,0.09%,99.71%,,0.0948029011487961,0.905197083950043,
https://sentinelpro.com,https://sentinelpro.com/assets/images/partner/htg.png,normal,normal,3.65%,96.35%,,0.03%,99.97%,,0.03%,0.07%,0.09%,99.81%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://sentinelpro.com,https://sentinelpro.com/assets/images/partner/cb.png,normal,normal,2.96%,97.04%,,0.09%,99.91%,,0.04%,0.05%,0.10%,99.81%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://www.effon.com,https://www.effon.com/wp-content/uploads/2023/11/G90W97J3WZBRDC@@7VBV-300x300.png,normal,normal,16.10%,83.90%,,0.02%,99.98%,,1.90%,0.01%,0.10%,97.98%,,0.059855192899704,0.940144836902618,
http://outway.com,http://outway.com/cdn/shop/files/Outway_Logo_-_White.png?v=1673111418,normal,normal,3.44%,96.56%,,0.15%,99.85%,,0.05%,0.06%,0.11%,99.79%,,,,"output with shape [1, 384, 384] doesn't match the broadcast shape [3, 384, 384]"
https://uniuni.com,https://cdn.uniuni.com/wp-content/uploads/2025/10/Group-47990.png,normal,,1.99%,98.01%,,0.05%,99.95%,,0.06%,0.01%,0.11%,99.82%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/homepage-sock-category_2.png?v=1760044973&width=20,safe,normal,6.78%,93.22%,,4.20%,95.80%,,0.35%,0.01%,0.11%,99.53%,,0.150785103440285,0.849214911460877,
https://sentinelpro.com,https://sentinelpro.com/assets/images/home-main-slide-1.png,normal,normal,3.88%,96.12%,,0.08%,99.92%,,0.05%,0.02%,0.11%,99.83%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
